,6,8,15,16,21,30,49,67,88,223
22,0.017298,0.010911,0.005653,0.004379,0.006169,0.013174,0.009003,0.013147,0.026095,0.035667
26,0.019594,0.013324,0.008104,0.00684,0.006842,0.01073,0.006558,0.010712,0.02447,0.034182
53,0.04499,0.046012,0.047717,0.047007,0.039416,0.042501,0.043058,0.042257,0.026715,0.020924
66,0.028064,0.021986,0.016714,0.015481,0.013549,0.003325,0.003022,0.00349,0.020888,0.030714
70,0.051725,0.052957,0.054741,0.054034,0.046442,0.049121,0.049863,0.04888,0.032732,0.025666
73,0.044901,0.045064,0.046017,0.045185,0.037419,0.038725,0.039743,0.038488,0.022053,0.015324
80,0.030099,0.024742,0.020415,0.019133,0.014781,0.00255,0.006043,0.002371,0.015207,0.024956
81,0.030593,0.024661,0.019539,0.018293,0.015726,0.002231,0.005208,0.002476,0.019456,0.029125
85,0.043303,0.042784,0.043154,0.042239,0.034429,0.034495,0.035796,0.034263,0.01743,0.010509
92,0.034036,0.028194,0.023121,0.021874,0.018993,0.004853,0.008684,0.005007,0.018836,0.028093
132,0.057883,0.05573,0.054305,0.05316,0.045772,0.039946,0.042868,0.03978,0.023522,0.014496
133,0.052637,0.050057,0.048282,0.047109,0.039885,0.033429,0.036441,0.033268,0.017467,0.009593
285,0.035089,0.036537,0.038815,0.038229,0.030955,0.036538,0.036274,0.03629,0.023656,0.021777
324,0.017301,0.015359,0.015987,0.015258,0.007833,0.017677,0.015499,0.017467,0.018547,0.026221
349,0.023884,0.020245,0.018392,0.017274,0.009889,0.011282,0.01068,0.011042,0.012541,0.021725
