Orig-Dest,Station,Path,Cost,start_station_latitude,start_station_longitude
Origin,3,p1,5,37.78637527,-122.4049044
Destination,62,p1,5,37.77779057,-122.4064319
Destination,52,p2,1,37.7774157,-122.4418376
Origin,6,p2,1,37.80477,-122.403234
Destination,369,p3,1,37.78734902,-122.4166511
Origin,6,p3,1,37.80477,-122.403234
Destination,375,p4,2,37.77483629,-122.4465457
Origin,6,p4,2,37.80477,-122.403234
Origin,8,p5,4,37.799953,-122.398525
Destination,324,p5,4,37.78829998,-122.4085307
Destination,324,p6,1,37.78829998,-122.4085307
Origin,20,p6,1,37.7913,-122.399051
Destination,324,p7,2,37.78829998,-122.4085307
Origin,21,p7,2,37.7896254,-122.400811
Origin,66,p8,1,37.77874161,-122.3927408
Destination,345,p8,1,37.76647422,-122.3982954
Origin,88,p9,1,37.7700298,-122.4117258
Destination,72,p9,1,37.772406,-122.4356498
Destination,86,p10,2,37.7693053,-122.4268256
Origin,88,p10,2,37.7700298,-122.4117258
Destination,145,p11,1,37.7436839,-122.4268059
Origin,88,p11,1,37.7700298,-122.4117258
Origin,104,p12,1,37.76704458,-122.3908335
Destination,345,p12,1,37.76647422,-122.3982954
Origin,350,p13,1,37.77143136,-122.4057868
Destination,139,p13,1,37.7510171,-122.4119009
